abandon 51.2
toss 17.1#17.1#26.3#26.3#40.3.2
total 22.2.a#22.2.c#54.1.a#54.1.b
tote 11.4.i#11.4.ii#11.4.ii
totter 47.3.a#49.a.i#49.a.ii#51.3.2.a.i#51.3.2.a.ii
touch 20.a#31.1.a#31.1.b#47.8.a#47.8.f
toughen 45.4.a#45.4.b#45.4.c
tour 51.3.2.a.i#51.3.2.a.ii
tousle 45.4.a
tow 11.4.i#11.4.ii#11.4.ii
towel 10.4.2.a#10.4.2.b#41.2.2
tower 47.1#47.6.a
trace 25.2
track 35.3.a#35.3.b#51.6.a
trade 13.1.b.ii#13.1.b.ii#13.6.b#13.6.b
trail 51.6.a#51.6.b
train 29.2.c#29.2.d#51.4.2.a.ii
traipse 51.3.2.a.i#51.3.2.a.ii
tram 51.4.1.a#51.4.1.b
trammel 22.4.a#22.4.b
tramp 51.3.2.a.i#51.3.2.a.ii
trample 21.2.a
tranquilize 45.4.a
transact 36.1.c#36.1.d
transcend 007
transcribe 25.4
transfer 11.1#11.1#13.2
transfix 31.1.a
transform 26.6
transfuse 9.9.ii
transgress 31.1.a
translate 26.6
transmit 11.1
transmute 26.6
transpire 48.3.a
transplant 22.3.c.ii
transport 11.1#31.1.a#31.1.b
transpose 45.4.a
trap 9.10
travel 51.3.2.a.i#51.3.2.a.ii
traverse 47.8.c
trawl 35.2.a#35.2.a#35.2.b
tread 21.2.a
treasure 31.2.a#31.2.b#31.2.c#31.2.g
treat 29.2.c#29.2.d
treble 45.4.a
tree 9.10
trek 51.3.2.a.i#51.3.2.a.ii
tremble 47.3.a
trick 33.b
trickle 47.2.a.i
trill 37.3.a#37.3.a#37.3.b#37.3.c#38#43.2.a#43.2.b
trim 9.8.a#9.8.b#10.4.1.a#10.4.1.b.i#10.4.1.b.ii#41.2.2
trip 51.3.2.b.i#51.3.2.b.ii
triple 45.4.a#45.4.b#45.4.c
triumph 31.3.h
troll 35.2.a#35.2.a#35.2.b
trolley 51.4.1.a#51.4.1.b
troop 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
trot 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
trouble 31.1.a#31.1.b#31.1.c
truck 11.5#11.5
trudge 51.3.2.a.i#51.3.2.a.ii
trumpet 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b
truncheon 18.3
trundle 51.3.2.a.i#51.3.2.a.ii
trust 13.4.1.a#13.4.1.b#31.2.a#31.2.b#31.2.c#31.2.g
try 005#31.1.a#31.1.b
tuck 9.3.a
tug 11.4.i#11.4.ii#11.4.ii#12.a.i#12.a.ii#12.b#23.2.a#23.2.b
tumble 45.6#47.7.a#47.7.b#51.1.a#51.1.b
tune 45.4.a
tunnel 35.5#35.5
turf 9.9.ii
turkify 45.4.a
turn 26.6#40.3.2#40.8.3#47.7.a#47.7.b#51.3.1.c
turn_up 48.1.1.b
tussle 36.1.c#36.1.d
tutor 29.8.a#29.8.b
twang 43.2.a#43.2.b
tweet 38
twiddle 40.3.2
twine 9.6#22.2.a
twinge 20.b
twinkle 43.1.a#43.1.b
twirl 9.6#26.5.a.i#26.5.b
twist 9.6#26.5.a.i#26.5.b#40.8.3#47.7.a#47.7.b
twitch 40.3.2#49.a.i#49.a.ii
twitter 37.3.a#37.3.a#37.3.b#37.3.c#38
type 25.2#25.4
typify 45.4.a
tyrannize 45.4.a
ulcerate 45.4.a#45.4.b#45.4.c
ululate 43.2.a#43.2.b
umpire 29.8.a#29.8.b
unbolt 23.3.a#23.3.b
unbuckle 23.3.a#23.3.b
unburden 10.6.a
unbutton 23.3.a#23.3.b
unchain 23.3.a#23.3.b
unclamp 23.3.a#23.3.b
unclasp 23.3.a#23.3.b
unclip 23.3.a#23.3.b
uncoil 23.1.a
uncover 29.2.b
undercharge 54.5.b
underestimate 29.5.d
underlie 47.8.h
undergo 30.2.a.ii
underline 45.4.a
undermine 45.4.a
understand 018.b#018.a
underrun 11.4.ii
yak 37.6.a
schmooze 37.6.a
rap 37.6.a
gossip 37.6.a
gab 37.6.a
converse 37.6.a
confer 37.6.a
chitchat 37.6.a
chatter 37.6.a
chat 37.6.a
argue 37.6.a
undersign 37.4.b
understand 30.2.a.ii
understudy 29.8.a#29.8.b
undertake 29.2.b#49.b#55.1.a#55.1.c
undo 44.a
undress 41.1.1.ii#41.1.1.iii
undulate 47.3.a
unearth 10.8
unfasten 23.3.a#23.3.b
unfix 23.3.b
unfold 45.4.a#45.4.b#45.4.c
unfurl 45.4.a
unglue 23.3.a#23.3.b
unhinge 23.3.a#23.3.b
unhitch 23.3.a#23.3.b
unhook 23.3.a#23.3.b
uniform 45.4.a
unify 22.2.a#22.2.c
unionize 45.4.a#45.4.b#45.4.c
unite 22.2.a#22.2.c
unlace 23.3.a#23.3.b
unlatch 23.3.a#23.3.b
unlearn 31.3.a.ii
unleash 23.3.a#23.3.b
unload 10.6.a
unlock 23.3.a#23.3.b
unnerve 31.1.a#31.1.b
unpeg 23.3.a#23.3.b
unpin 23.3.a#23.3.b
unravel 10.6.a
unreel 10.8
unroll 45.4.a
unscrew 23.3.a#23.3.b
unsettle 31.1.a#31.1.b
unshackle 23.3.a#23.3.b
unsheathe 10.8
unstaple 23.3.a#23.3.b
unstitch 23.3.a#23.3.b
untie 23.3.a#23.3.b
unveil 10.8
unwind 45.4.a
unzip 23.3.a#23.3.b
upbraid 33.b
upgrade 29.1.a#29.1.a
uphold 47.8.c
upholster 9.7.d
uplift 31.1.a#31.1.b
uproot 10.1
ups 11.1#11.1
upset 31.1.a#31.1.b
urbanize 45.4.a
urge 002
urinate 40.1.2
use 29.2.a#29.2.c#29.2.d#54.3.a#54.3.b
usher 29.8.a#29.8.b
usurp 51.3.2.c
utilize 29.2.a#29.2.c
utter 37.7.b
retire 51.1.d
graduate 51.1.d
emigrate 51.1.d
alight 51.1.d
gravitate 51.1.d
vacate 51.1.d
vacation 56.b
vaccinate 10.6.a
vacillate 47.3.a
vacuum 10.4.2.a#10.4.2.b
valet 29.8.a#29.8.b
valorize 45.4.a
value 29.2.a#29.2.b#29.2.c#29.2.d#31.2.a#31.2.b#31.2.c#31.2.g#54.4
vanish 48.2
vanquish 10.5
vaporize 45.4.a#45.4.b#45.4.c
variegate 45.4.a
varnish 24
vary 45.4.a#45.4.b#45.4.c#45.6
vaticinate 13.3#29.5.e
vault 51.3.2.a.i#51.3.2.a.ii
vaunt 37.8.b
veer 47.7.a
veil 9.8.a#9.8.b#9.8.d#9.9.ii
vein 9.8.a#9.8.b#10.7
veneer 9.9.ii
venerate 31.2.a#31.2.b#31.2.g
ventilate 45.4.a
venture 008#51.3.2.a.i#51.3.2.a.ii
verify 29.2.c
versify 45.4.a
vest 9.7.a#9.7.d
vex 31.1.a#31.1.b
vibrate 45.4.a#45.4.b#45.4.c#47.3.a#47.3.b
victimize 33.b
vie 36.1.c#36.1.d
view 29.2.a#29.2.b#29.2.c#29.2.d#30.2.a.i#30.2.a.ii#30.2.c
vilify 33.b
vindicate 31.2.b
embarrass 31.1.c
violate 31.1.a
visit 36.3.a#36.3.a#36.3.b
visualize 29.2.a#29.2.c#29.2.d
vitrify 45.4.a#45.4.b#45.4.c
vocalize 45.4.a
vociferate 37.3.a
voice 37.7.b
void 10.6.a
volatilize 45.4.a#45.4.b#45.4.c
volunteer 29.8.a#29.8.b
vomit 40.1.2
vote 13.3#13.3#13.5.1.a#13.5.1.a
vow 32.2.a
vouch 32.2.a
vote 29.3
voyage 51.4.2.a.ii
vroom 43.2.a#43.2.b
vulcanize 45.4.a
wad 9.3.b#26.5.a.i#26.5.b
waddle 51.3.2.a.i#51.3.2.a.ii
wade 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.d
waft 47.3.a
wag 40.3.2
wage 55.2.c
wager 54.5.a#54.5.b
waggle 40.3.2#49.a.i#49.a.ii
wail 37.3.a#37.3.a#37.3.b#37.3.c#38#43.2.a#43.2.b
wait 47.1
waive 13.2
wake 45.4.a
waken 45.4.a#45.4.b#45.4.c
walk 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
wallop 18.3
wallow 31.3.e
wallpaper 9.9.ii
waltz 51.5.a.i#51.5.a.ii#51.5.b
wander 47.7.a#47.7.b#51.3.2.a.i#51.3.2.a.ii
wane 45.5
wangle 10.5
want 005#002#005#29.1.a#29.1.a#29.1.b#29.1.d#32.1
war 36.1.c#36.1.d
warble 37.3.a#37.3.a#37.3.b#37.3.c#38
warehouse 9.10
warm 45.4.a#45.4.b#45.4.c
warn 37.9.a#37.9.b#37.9.c
warp 45.4.a#45.4.b#45.4.c
warrant 29.4.e#29.4.f#29.4.g
wash 9.7.a#9.7.d#10.4.1.a#10.4.1.b.i#10.4.1.b.ii#26.3#26.3#41.1.1.i#41.1.1.ii#41.1.1.iii#41.2.1
waste 44.a#44.b
watch 005#30.2.a.i#30.2.a.ii#30.2.c#35.2.a#35.2.a#35.2.b
water 9.9.i#9.9.ii
wave 40.3.1.i#40.3.1.ii#41.2.2#47.3.a#47.3.b
waver 47.3.a
wax 9.9.i#9.9.ii#48.1.1.a#48.1.1.a
weaken 45.4.a#45.4.b#45.4.c
wean 10.6.a
wear 10.4.1.a#10.4.1.b.i#10.4.1.b.ii#41.3.1.c
weary 31.1.a#31.1.b#31.1.c#31.3.f
weasel 10.5
weave 26.1.a#26.1.a#26.1.b#47.7.a#47.7.b
wed 22.2.b
wedge 9.3.a#9.3.b
weed 10.4.1.a#10.4.1.b.i#10.4.1.b.ii#10.7
weekend 56.b
weep 31.3.c#40.1.2#40.2.b
weigh 54.1.a#54.1.b
weight 13.4.2
welcome 33.a.ii
weld 22.3.c.ii#22.3.d.ii
westernize 45.4.a#45.4.b#45.4.c
wet 45.4.a
whack 18.1.a#18.1.b#18.1.c#18.1.d#18.1.e
whale 13.7
wheel 11.5#11.5
wheeze 37.3.a#37.3.a#37.3.b#37.3.c#40.1.1#43.2.a#43.2.b
whelk 13.7
whelp 28
whimper 37.3.a#37.3.a#37.3.b#37.3.c#38
whine 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b
whinny 38
whip 18.3#22.3.a.ii#22.3.b.i#22.3.b.ii#22.3.d.ii#26.5.a.i#26.5.b
whir 43.2.a#43.2.b#43.2.c
whirl 9.6
whish 43.2.a#43.2.b#43.2.d
whisk 10.4.1.a#10.4.1.b.i#10.4.1.b.ii#10.4.1.c#18.3#22.3.a.ii#22.3.b.i#22.3.b.ii#22.3.d.ii
whisper 37.3.a#37.3.a#37.3.b#37.3.c
whistle 26.7.i#26.7.ii#26.7.ii#37.3.a#37.3.a#37.3.b#37.3.c#38#40.2.b#43.2.a#43.2.b
whiten 45.4.a#45.4.b#45.4.c
whitewash 9.9.ii
whittle 26.1.a#26.1.a#26.1.b
whiz 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
whoop 37.3.a#37.3.a#37.3.b#37.3.c
whoosh 43.2.a#43.2.b
whump 43.2.a#43.2.b
widen 45.4.a#45.4.b#45.4.c
widow 29.7
wield 15.1.a#15.1.b
wiggle 40.3.2#47.3.a#47.3.b#49.a.i#49.a.ii#49.b
will 13.3#13.3
wilt 45.5#47.2.b
win 13.5.1.b.ii#13.5.1.b.ii#13.5.1.b.ii
wince 40.3.3.b#40.5
wind 9.6#10.7#26.5.a.i#26.5.a.ii#26.5.b#47.7.a#47.7.b
wind_up 55.1.a#55.1.b
wink 40.3.1.i#40.3.1.ii
winkle 10.1#10.5
winnow 10.4.1.a#10.4.1.b.i#10.4.1.b.ii
winter 56.b
wipe 9.3.a#9.3.b#10.4.1.a#10.4.1.b.i#10.4.1.b.ii#10.4.1.c
wire 11.5#11.5#22.4.a#22.4.b#37.4.a#37.4.a#37.4.a#37.4.a#37.4.b
wireless 37.4.a#37.4.a#37.4.a#37.4.a
wish 015
wireless 37.4.b
wish 005#29.1.d#32.2.b
withdraw 10.1#10.5
wither 45.5#47.2.b
withhold 10.1
withstand 39.6.b
witness 29.8.a#29.8.b#30.2.a.i#30.2.a.ii#30.2.c
wobble 47.3.a#49.a.i#49.a.ii#49.b
wolf 39.3.a.i#39.3.b
wonder 31.3.b#31.3.h
woof 38
work 26.5.a.i#26.5.b
worm 10.7
worry 31.1.a#31.1.b#31.1.c#31.3.a.i#31.3.h
worsen 45.4.a#45.4.b#45.4.c
worship 31.2.a#31.2.b#31.2.g
wound 31.1.a#31.1.b#31.1.c
wow 31.1.a#31.1.b#31.1.c
wrangle 36.1.c#36.1.d
wrap 9.7.a#9.7.d
wreathe 9.8.a#9.8.b#9.8.d#9.9.ii
wreck 44.a#44.b
wrench 10.1
wrest 10.5
wrestle 36.1.c#36.1.d
wriggle 49.a.i#49.a.ii#49.b
wring 9.3.a#9.3.b#10.4.1.a#10.4.1.b.i#10.4.1.b.ii#40.3.2
wrinkle 40.3.2#45.2.a#45.2.b#45.2.c
write 25.2#26.7.i#26.7.ii#26.7.ii#37.1.a#37.1.b#37.1.c#37.1.d
writhe 47.3.a
wrong 33.b
yacht 51.4.1.a#51.4.1.b
object 37.8.a
kvetch 37.8.a
grouse 37.8.a
complain 37.8.a
brag 37.8.a
boast 37.8.a
yak 37.6.b
yammer 37.3.a#37.3.a#37.3.b#37.3.c
yank 12.a.i#12.a.ii#12.b#23.2.a#23.2.b
yap 37.3.a#37.3.a#37.3.b#37.3.c
yearn 32.2.a
yap 38
yawn 40.1.1#40.2.b
yearn 32.2.b
yell 37.3.a#37.3.a#37.3.b#37.3.c#38
yellow 45.4.a#45.4.b#45.4.c
yelp 37.3.a#37.3.a#37.3.b#37.3.c#38
yield 13.3#13.3
yip 38
yodel 37.3.a#37.3.a#37.3.b#37.3.c
yoke 9.9.ii#22.4.a#22.4.b
yowl 38
zest 10.7
zigzag 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
zing 43.2.a#43.2.b
zip 22.4.a#22.4.b
zipcode 9.9.ii
zoom 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
